ver:"3.0" id:@396a2669-cb8d-491e-81a1-53360d297f4a hisStart:2022-06-05T18:54:11-00:00 Amsterdam hisEnd:2022-06-08T18:54:11-00:00 Amsterdam
ts,val
2022-06-06T04:33:56-00:00 Amsterdam,1233
2022-06-06T04:38:56-00:00 Amsterdam,1277
2022-06-06T04:43:56-00:00 Amsterdam,1303
2022-06-06T04:48:56-00:00 Amsterdam,1336
2022-06-06T04:53:56-00:00 Amsterdam,1375
2022-06-06T04:58:56-00:00 Amsterdam,1401
2022-06-06T05:03:56-00:00 Amsterdam,1410
2022-06-06T05:08:56-00:00 Amsterdam,1470
2022-06-06T05:13:56-00:00 Amsterdam,1494
2022-06-06T05:18:56-00:00 Amsterdam,1512
2022-06-06T05:23:56-00:00 Amsterdam,1557
2022-06-06T05:28:56-00:00 Amsterdam,1596
2022-06-06T05:33:56-00:00 Amsterdam,1629
2022-06-06T05:38:56-00:00 Amsterdam,1662
2022-06-06T05:43:56-00:00 Amsterdam,1681
2022-06-06T05:48:56-00:00 Amsterdam,1705
2022-06-06T05:53:56-00:00 Amsterdam,1739
2022-06-06T05:58:56-00:00 Amsterdam,1760
2022-06-06T06:03:56-00:00 Amsterdam,1797
2022-06-06T06:13:56-00:00 Amsterdam,1865
2022-06-06T06:18:56-00:00 Amsterdam,1902
2022-06-06T06:23:56-00:00 Amsterdam,1918
2022-06-06T06:28:56-00:00 Amsterdam,1927
2022-06-06T06:33:56-00:00 Amsterdam,1948
2022-06-06T06:38:56-00:00 Amsterdam,1991
2022-06-06T06:43:56-00:00 Amsterdam,2007
2022-06-06T06:48:56-00:00 Amsterdam,2036
2022-06-06T06:53:55-00:00 Amsterdam,2058
2022-06-06T06:58:55-00:00 Amsterdam,2097
2022-06-06T07:03:55-00:00 Amsterdam,2118
2022-06-06T07:08:55-00:00 Amsterdam,2155
2022-06-06T07:13:55-00:00 Amsterdam,2189
2022-06-06T07:18:56-00:00 Amsterdam,2206
2022-06-06T07:23:55-00:00 Amsterdam,2235
2022-06-06T07:28:55-00:00 Amsterdam,2244
2022-06-06T07:33:55-00:00 Amsterdam,2275
2022-06-06T07:38:55-00:00 Amsterdam,2300
2022-06-06T07:48:55-00:00 Amsterdam,2356
2022-06-06T07:53:55-00:00 Amsterdam,2390
2022-06-06T07:58:55-00:00 Amsterdam,2384
