ver:"3.0"
id,dis,point,airInsights,siteRef,equipRef,tz,kind,his,unit,type,sensorId,tenantId,i_streaming_enabled,default
@230e7264-b60e-437e-9b7d-c6be761d685c,"A81758FFFE053FD9",M,M,@3ac763da-c4b5-4964-895b-4a8d4baaf7fe "3ac763da-c4b5-4964-895b-4a8d4baaf7fe",@25c5d47f-8919-484a-bc35-77b854f76ae6 "25c5d47f-8919-484a-bc35-77b854f76ae6","Amsterdam","Number",M,"ppm","CO2","urn:dev:DEVEUI:A81758FFFE053FD9:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",F,M
@de607c5a-36f8-4234-a4fa-3d53d0a34220,"A81758FFFE053FD9-Temp",M,M,@3ac763da-c4b5-4964-895b-4a8d4baaf7fe "3ac763da-c4b5-4964-895b-4a8d4baaf7fe",@25c5d47f-8919-484a-bc35-77b854f76ae6 "25c5d47f-8919-484a-bc35-77b854f76ae6","Amsterdam","Number",M,"C","temperature","urn:dev:DEVEUI:A81758FFFE053FD9:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",F,M
@90eda5e8-c639-4b74-85b8-8b42fe4f864b,"A81758FFFE053FD9-Humidity",M,M,@3ac763da-c4b5-4964-895b-4a8d4baaf7fe "3ac763da-c4b5-4964-895b-4a8d4baaf7fe",@25c5d47f-8919-484a-bc35-77b854f76ae6 "25c5d47f-8919-484a-bc35-77b854f76ae6","Amsterdam","Number",M,"%RH","humidity","urn:dev:DEVEUI:A81758FFFE053FD9:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",F,M
@0451fb0d-a659-434a-bde0-1f713a71b02d,"A81758FFFE053FD8",M,M,@3ac763da-c4b5-4964-895b-4a8d4baaf7fe "3ac763da-c4b5-4964-895b-4a8d4baaf7fe",@25c5d47f-8919-484a-bc35-77b854f76ae6 "25c5d47f-8919-484a-bc35-77b854f76ae6","Amsterdam","Number",M,"ppm","CO2","urn:dev:DEVEUI:A81758FFFE053FD8:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",F,M
@d206c542-ee71-4081-985b-6970c2f534ab,"A81758FFFE053FD8-Temp",M,M,@3ac763da-c4b5-4964-895b-4a8d4baaf7fe "3ac763da-c4b5-4964-895b-4a8d4baaf7fe",@25c5d47f-8919-484a-bc35-77b854f76ae6 "25c5d47f-8919-484a-bc35-77b854f76ae6","Amsterdam","Number",M,"C","temperature","urn:dev:DEVEUI:A81758FFFE053FD8:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",F,M
@5a903b86-c1f0-4161-9ed6-c9e0fe8729b3,"A81758FFFE053FD8-Humidity",M,M,@3ac763da-c4b5-4964-895b-4a8d4baaf7fe "3ac763da-c4b5-4964-895b-4a8d4baaf7fe",@25c5d47f-8919-484a-bc35-77b854f76ae6 "25c5d47f-8919-484a-bc35-77b854f76ae6","Amsterdam","Number",M,"%RH","humidity","urn:dev:DEVEUI:A81758FFFE053FD8:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",F,M
@bec8d400-94c1-11ec-8346-9afde65bc921,"A81758FFFE053FDC-BatteryVoltage",M,M,@070872ef-454b-4fff-9962-31d6dd7572e9 "070872ef-454b-4fff-9962-31d6dd7572e9",@387dd5b2-1f2e-4014-b6ff-eaa42388ec06 "387dd5b2-1f2e-4014-b6ff-eaa42388ec06","Amsterdam","Number",M,"V","batteryVoltage","urn:dev:DEVEUI:A81758FFFE053FDC:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",,
@bed2db9e-94c1-11ec-8346-9afde65bc921,"A81758FFFE053FDC-Motion",M,M,@070872ef-454b-4fff-9962-31d6dd7572e9 "070872ef-454b-4fff-9962-31d6dd7572e9",@387dd5b2-1f2e-4014-b6ff-eaa42388ec06 "387dd5b2-1f2e-4014-b6ff-eaa42388ec06","Amsterdam","Number",M,"count","motion","urn:dev:DEVEUI:A81758FFFE053FDC:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",,
@bed5f9be-94c1-11ec-8346-9afde65bc921,"A81758FFFE053FDC-Illuminance",M,M,@070872ef-454b-4fff-9962-31d6dd7572e9 "070872ef-454b-4fff-9962-31d6dd7572e9",@387dd5b2-1f2e-4014-b6ff-eaa42388ec06 "387dd5b2-1f2e-4014-b6ff-eaa42388ec06","Amsterdam","Number",M,"lx","illuminance","urn:dev:DEVEUI:A81758FFFE053FDC:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",,
@bed826ee-94c1-11ec-8346-9afde65bc921,"A81758FFFE053FDD-BatteryVoltage",M,M,@3ac763da-c4b5-4964-895b-4a8d4baaf7fe "3ac763da-c4b5-4964-895b-4a8d4baaf7fe",@25c5d47f-8919-484a-bc35-77b854f76ae6 "25c5d47f-8919-484a-bc35-77b854f76ae6","Amsterdam","Number",M,"V","batteryVoltage","urn:dev:DEVEUI:A81758FFFE053FDD:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",F,M
@bedaafa4-94c1-11ec-8346-9afde65bc921,"A81758FFFE053FDD-Motion",M,M,@3ac763da-c4b5-4964-895b-4a8d4baaf7fe "3ac763da-c4b5-4964-895b-4a8d4baaf7fe",@25c5d47f-8919-484a-bc35-77b854f76ae6 "25c5d47f-8919-484a-bc35-77b854f76ae6","Amsterdam","Number",M,"count","motion","urn:dev:DEVEUI:A81758FFFE053FDD:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",F,M
@bedd075e-94c1-11ec-8346-9afde65bc921,"A81758FFFE053FDD-Illuminance",M,M,@3ac763da-c4b5-4964-895b-4a8d4baaf7fe "3ac763da-c4b5-4964-895b-4a8d4baaf7fe",@25c5d47f-8919-484a-bc35-77b854f76ae6 "25c5d47f-8919-484a-bc35-77b854f76ae6","Amsterdam","Number",M,"lx","illuminance","urn:dev:DEVEUI:A81758FFFE053FDD:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",F,M
@bedf07b6-94c1-11ec-8346-9afde65bc921,"A81758FFFE053FDA-BatteryVoltage",M,M,@070872ef-454b-4fff-9962-31d6dd7572e9 "070872ef-454b-4fff-9962-31d6dd7572e9",@387dd5b2-1f2e-4014-b6ff-eaa42388ec06 "387dd5b2-1f2e-4014-b6ff-eaa42388ec06","Amsterdam","Number",M,"V","batteryVoltage","urn:dev:DEVEUI:A81758FFFE053FDA:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",,
@bee0f6e8-94c1-11ec-8346-9afde65bc921,"A81758FFFE053FDA-Motion",M,M,@070872ef-454b-4fff-9962-31d6dd7572e9 "070872ef-454b-4fff-9962-31d6dd7572e9",@387dd5b2-1f2e-4014-b6ff-eaa42388ec06 "387dd5b2-1f2e-4014-b6ff-eaa42388ec06","Amsterdam","Number",M,"count","motion","urn:dev:DEVEUI:A81758FFFE053FDA:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",,
@bee2f25e-94c1-11ec-8346-9afde65bc921,"A81758FFFE053FDA-Illuminance",M,M,@070872ef-454b-4fff-9962-31d6dd7572e9 "070872ef-454b-4fff-9962-31d6dd7572e9",@387dd5b2-1f2e-4014-b6ff-eaa42388ec06 "387dd5b2-1f2e-4014-b6ff-eaa42388ec06","Amsterdam","Number",M,"lx","illuminance","urn:dev:DEVEUI:A81758FFFE053FDA:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",,
@bee50864-94c1-11ec-8346-9afde65bc921,"A81758FFFE053FDB-BatteryVoltage",M,M,@070872ef-454b-4fff-9962-31d6dd7572e9 "070872ef-454b-4fff-9962-31d6dd7572e9",@2a1a05df-2cae-46cf-be44-30addf80d4e1 "2a1a05df-2cae-46cf-be44-30addf80d4e1","Amsterdam","Number",M,"V","batteryVoltage","urn:dev:DEVEUI:A81758FFFE053FDB:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",,
@bee71de8-94c1-11ec-8346-9afde65bc921,"A81758FFFE053FDB-Motion",M,M,@070872ef-454b-4fff-9962-31d6dd7572e9 "070872ef-454b-4fff-9962-31d6dd7572e9",@2a1a05df-2cae-46cf-be44-30addf80d4e1 "2a1a05df-2cae-46cf-be44-30addf80d4e1","Amsterdam","Number",M,"count","motion","urn:dev:DEVEUI:A81758FFFE053FDB:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",,
@bee904fa-94c1-11ec-8346-9afde65bc921,"A81758FFFE053FDB-Illuminance",M,M,@070872ef-454b-4fff-9962-31d6dd7572e9 "070872ef-454b-4fff-9962-31d6dd7572e9",@2a1a05df-2cae-46cf-be44-30addf80d4e1 "2a1a05df-2cae-46cf-be44-30addf80d4e1","Amsterdam","Number",M,"lx","illuminance","urn:dev:DEVEUI:A81758FFFE053FDB:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",,
@beeb190c-94c1-11ec-8346-9afde65bc921,"A81758FFFE053FD7-BatteryVoltage",M,M,@070872ef-454b-4fff-9962-31d6dd7572e9 "070872ef-454b-4fff-9962-31d6dd7572e9",@387dd5b2-1f2e-4014-b6ff-eaa42388ec06 "387dd5b2-1f2e-4014-b6ff-eaa42388ec06","Amsterdam","Number",M,"V","batteryVoltage","urn:dev:DEVEUI:A81758FFFE053FD7:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",,
@beed4f24-94c1-11ec-8346-9afde65bc921,"A81758FFFE053FD7-Motion",M,M,@070872ef-454b-4fff-9962-31d6dd7572e9 "070872ef-454b-4fff-9962-31d6dd7572e9",@387dd5b2-1f2e-4014-b6ff-eaa42388ec06 "387dd5b2-1f2e-4014-b6ff-eaa42388ec06","Amsterdam","Number",M,"count","motion","urn:dev:DEVEUI:A81758FFFE053FD7:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",,
@beef6fde-94c1-11ec-8346-9afde65bc921,"A81758FFFE053FD7-Illuminance",M,M,@070872ef-454b-4fff-9962-31d6dd7572e9 "070872ef-454b-4fff-9962-31d6dd7572e9",@387dd5b2-1f2e-4014-b6ff-eaa42388ec06 "387dd5b2-1f2e-4014-b6ff-eaa42388ec06","Amsterdam","Number",M,"lx","illuminance","urn:dev:DEVEUI:A81758FFFE053FD7:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",,
@bef44b94-94c1-11ec-8346-9afde65bc921,"A81758FFFE053FD6-BatteryVoltage",M,M,@3ac763da-c4b5-4964-895b-4a8d4baaf7fe "3ac763da-c4b5-4964-895b-4a8d4baaf7fe",@25c5d47f-8919-484a-bc35-77b854f76ae6 "25c5d47f-8919-484a-bc35-77b854f76ae6","Amsterdam","Number",M,"V","batteryVoltage","urn:dev:DEVEUI:A81758FFFE053FD6:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",F,M
@bef678b0-94c1-11ec-8346-9afde65bc921,"A81758FFFE053FD6-Motion",M,M,@3ac763da-c4b5-4964-895b-4a8d4baaf7fe "3ac763da-c4b5-4964-895b-4a8d4baaf7fe",@25c5d47f-8919-484a-bc35-77b854f76ae6 "25c5d47f-8919-484a-bc35-77b854f76ae6","Amsterdam","Number",M,"count","motion","urn:dev:DEVEUI:A81758FFFE053FD6:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",F,M
