ver:"3.0" id:@6a3fa16b-b1ab-4b7b-a903-50b4130c75d1 hisStart:2022-06-05T18:54:12-00:00 Amsterdam hisEnd:2022-06-08T18:54:12-00:00 Amsterdam
ts,val
2022-06-06T00:43:57-00:00 Amsterdam,63
2022-06-06T00:48:57-00:00 Amsterdam,63
2022-06-06T00:53:57-00:00 Amsterdam,63
2022-06-06T00:58:57-00:00 Amsterdam,63
2022-06-06T01:03:57-00:00 Amsterdam,63
2022-06-06T01:08:57-00:00 Amsterdam,63
2022-06-06T01:13:57-00:00 Amsterdam,63
2022-06-06T01:18:57-00:00 Amsterdam,63
2022-06-06T01:23:57-00:00 Amsterdam,63
2022-06-06T01:28:57-00:00 Amsterdam,63
2022-06-06T01:33:56-00:00 Amsterdam,62
2022-06-06T01:38:56-00:00 Amsterdam,62
2022-06-06T01:43:56-00:00 Amsterdam,62
2022-06-06T01:48:56-00:00 Amsterdam,62
2022-06-06T01:53:56-00:00 Amsterdam,62
2022-06-06T01:58:57-00:00 Amsterdam,62
2022-06-06T02:03:56-00:00 Amsterdam,62
2022-06-06T02:08:56-00:00 Amsterdam,62
2022-06-06T02:13:56-00:00 Amsterdam,62
2022-06-06T02:18:56-00:00 Amsterdam,62
2022-06-06T02:23:56-00:00 Amsterdam,62
2022-06-06T02:28:56-00:00 Amsterdam,62
2022-06-06T02:38:56-00:00 Amsterdam,62
2022-06-06T02:43:56-00:00 Amsterdam,61
2022-06-06T02:48:56-00:00 Amsterdam,61
2022-06-06T02:53:56-00:00 Amsterdam,61
2022-06-06T03:03:56-00:00 Amsterdam,61
2022-06-06T03:08:56-00:00 Amsterdam,61
2022-06-06T03:13:56-00:00 Amsterdam,62
2022-06-06T03:18:56-00:00 Amsterdam,62
2022-06-06T03:23:56-00:00 Amsterdam,62
2022-06-06T03:28:56-00:00 Amsterdam,62
2022-06-06T03:33:56-00:00 Amsterdam,62
2022-06-06T03:38:56-00:00 Amsterdam,62
2022-06-06T03:43:56-00:00 Amsterdam,62
2022-06-06T03:48:56-00:00 Amsterdam,62
2022-06-06T03:53:56-00:00 Amsterdam,62
2022-06-06T03:58:56-00:00 Amsterdam,62
2022-06-06T04:03:56-00:00 Amsterdam,62
2022-06-06T04:08:56-00:00 Amsterdam,62
2022-06-06T04:23:56-00:00 Amsterdam,63
2022-06-06T04:28:56-00:00 Amsterdam,63
2022-06-06T04:33:56-00:00 Amsterdam,63
2022-06-06T04:38:56-00:00 Amsterdam,63
2022-06-06T04:43:56-00:00 Amsterdam,63
2022-06-06T04:48:56-00:00 Amsterdam,63
2022-06-06T04:53:56-00:00 Amsterdam,63
2022-06-06T04:58:56-00:00 Amsterdam,63
2022-06-06T05:03:56-00:00 Amsterdam,63
2022-06-06T05:08:56-00:00 Amsterdam,63
2022-06-06T05:13:56-00:00 Amsterdam,63
2022-06-06T05:18:56-00:00 Amsterdam,63
2022-06-06T05:23:56-00:00 Amsterdam,63
2022-06-06T05:28:56-00:00 Amsterdam,63
2022-06-06T05:33:56-00:00 Amsterdam,63
2022-06-06T05:38:56-00:00 Amsterdam,63
2022-06-06T05:43:56-00:00 Amsterdam,63
2022-06-06T05:48:56-00:00 Amsterdam,63
2022-06-06T05:53:56-00:00 Amsterdam,63
2022-06-06T05:58:56-00:00 Amsterdam,63
2022-06-06T06:03:56-00:00 Amsterdam,63
2022-06-06T06:13:56-00:00 Amsterdam,63
2022-06-06T06:18:56-00:00 Amsterdam,64
2022-06-06T06:23:56-00:00 Amsterdam,64
2022-06-06T06:28:56-00:00 Amsterdam,64
2022-06-06T06:33:56-00:00 Amsterdam,64
2022-06-06T06:38:56-00:00 Amsterdam,64
2022-06-06T06:43:56-00:00 Amsterdam,64
2022-06-06T06:48:56-00:00 Amsterdam,64
2022-06-06T06:53:55-00:00 Amsterdam,64
2022-06-06T06:58:55-00:00 Amsterdam,64
2022-06-06T07:03:55-00:00 Amsterdam,64
2022-06-06T07:08:55-00:00 Amsterdam,64
2022-06-06T07:13:55-00:00 Amsterdam,64
2022-06-06T07:18:56-00:00 Amsterdam,64
2022-06-06T07:23:55-00:00 Amsterdam,64
2022-06-06T07:28:55-00:00 Amsterdam,64
2022-06-06T07:33:55-00:00 Amsterdam,64
2022-06-06T07:38:55-00:00 Amsterdam,64
2022-06-06T07:48:55-00:00 Amsterdam,64
2022-06-06T07:53:55-00:00 Amsterdam,64
2022-06-06T07:58:55-00:00 Amsterdam,64
2022-06-06T08:03:55-00:00 Amsterdam,64
2022-06-06T08:13:55-00:00 Amsterdam,64
2022-06-06T08:23:55-00:00 Amsterdam,64
2022-06-06T08:28:55-00:00 Amsterdam,64
2022-06-06T08:33:55-00:00 Amsterdam,64
2022-06-06T08:38:55-00:00 Amsterdam,64
2022-06-06T08:43:55-00:00 Amsterdam,64
2022-06-06T08:48:55-00:00 Amsterdam,64
2022-06-06T08:53:55-00:00 Amsterdam,64
2022-06-06T08:58:55-00:00 Amsterdam,64
2022-06-06T09:03:55-00:00 Amsterdam,64
2022-06-06T09:08:55-00:00 Amsterdam,64
2022-06-06T09:13:55-00:00 Amsterdam,64
2022-06-06T09:18:55-00:00 Amsterdam,64
2022-06-06T09:23:55-00:00 Amsterdam,64
2022-06-06T09:28:55-00:00 Amsterdam,64
2022-06-06T09:33:55-00:00 Amsterdam,65
2022-06-06T09:38:55-00:00 Amsterdam,65
2022-06-06T09:43:55-00:00 Amsterdam,65
2022-06-06T09:48:55-00:00 Amsterdam,65
2022-06-06T09:53:55-00:00 Amsterdam,65
2022-06-06T09:58:55-00:00 Amsterdam,65
2022-06-06T10:03:55-00:00 Amsterdam,65
2022-06-06T10:08:55-00:00 Amsterdam,65
2022-06-06T10:13:55-00:00 Amsterdam,65
2022-06-06T10:18:55-00:00 Amsterdam,65
2022-06-06T10:23:55-00:00 Amsterdam,65
2022-06-06T10:28:55-00:00 Amsterdam,65
2022-06-06T10:33:55-00:00 Amsterdam,64
2022-06-06T10:38:55-00:00 Amsterdam,62
2022-06-06T10:43:55-00:00 Amsterdam,61
2022-06-06T10:53:55-00:00 Amsterdam,60
2022-06-06T10:58:55-00:00 Amsterdam,60
2022-06-06T11:03:55-00:00 Amsterdam,61
2022-06-06T11:13:55-00:00 Amsterdam,61
2022-06-06T11:23:55-00:00 Amsterdam,60
2022-06-06T11:28:55-00:00 Amsterdam,60
2022-06-06T11:38:55-00:00 Amsterdam,59
2022-06-06T11:43:55-00:00 Amsterdam,59
2022-06-06T11:48:55-00:00 Amsterdam,58
2022-06-06T11:53:55-00:00 Amsterdam,58
2022-06-06T11:58:55-00:00 Amsterdam,58
2022-06-06T12:03:55-00:00 Amsterdam,58
2022-06-06T12:08:55-00:00 Amsterdam,58
2022-06-06T12:13:54-00:00 Amsterdam,58
2022-06-06T12:18:54-00:00 Amsterdam,58
2022-06-06T12:23:54-00:00 Amsterdam,58
2022-06-06T12:28:54-00:00 Amsterdam,58
2022-06-06T12:33:54-00:00 Amsterdam,58
2022-06-06T12:38:55-00:00 Amsterdam,58
2022-06-06T12:43:54-00:00 Amsterdam,58
2022-06-06T12:48:54-00:00 Amsterdam,58
2022-06-06T12:53:54-00:00 Amsterdam,58
2022-06-06T12:58:54-00:00 Amsterdam,58
2022-06-06T13:03:54-00:00 Amsterdam,58
2022-06-06T13:13:54-00:00 Amsterdam,58
2022-06-06T13:18:54-00:00 Amsterdam,58
2022-06-06T13:23:54-00:00 Amsterdam,58
2022-06-06T13:28:54-00:00 Amsterdam,58
2022-06-06T13:33:54-00:00 Amsterdam,58
2022-06-06T13:43:54-00:00 Amsterdam,59
2022-06-06T13:48:54-00:00 Amsterdam,59
2022-06-06T13:53:54-00:00 Amsterdam,59
2022-06-06T13:58:54-00:00 Amsterdam,59
2022-06-06T14:03:54-00:00 Amsterdam,59
2022-06-06T14:08:54-00:00 Amsterdam,59
2022-06-06T14:13:54-00:00 Amsterdam,59
